,player,pos,age,team_id,g,gs,mp,fg_per_mp,fga_per_mp,fg_pct,fg3_per_mp,fg3a_per_mp,fg3_pct,fg2_per_mp,fg2a_per_mp,fg2_pct,ft_per_mp,fta_per_mp,ft_pct,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp
0,Steven Adams,C,26,OKC,63,63,1680,6.1,10.2,.592,0.0,0.1,.333,6.0,10.2,.594,2.5,4.3,.582,4.4,8.1,12.5,3.1,1.1,1.4,2.0,2.6,14.7
1,Bam Adebayo,PF,22,MIA,72,72,2417,6.6,11.8,.557,0.0,0.2,.143,6.5,11.6,.564,3.9,5.7,.691,2.6,8.3,10.9,5.5,1.2,1.4,3.0,2.7,17.1
2,LaMarcus Aldridge,C,34,SAS,53,53,1754,8.0,16.3,.493,1.3,3.2,.389,6.8,13.1,.519,3.2,3.9,.827,2.1,5.9,8.0,2.6,0.7,1.8,1.5,2.6,20.5
3,Kyle Alexander,C,23,MIA,2,0,13,2.8,5.5,.500,0.0,0.0,,2.8,5.5,.500,0.0,0.0,,5.5,2.8,8.3,0.0,0.0,0.0,2.8,2.8,5.5
4,Nickeil Alexander-Walker,SG,21,NOP,47,1,591,6.0,16.2,.368,2.8,8.1,.346,3.2,8.1,.391,1.5,2.3,.676,0.5,4.6,5.1,5.4,1.0,0.5,3.3,3.5,16.3
5,Grayson Allen,SG,24,MEM,38,0,718,5.9,12.6,.466,2.9,7.1,.404,3.0,5.5,.545,2.0,2.3,.867,0.4,3.9,4.3,2.6,0.5,0.1,1.7,2.7,16.5
6,Jarrett Allen,C,21,BRK,70,64,1852,5.9,9.0,.649,0.0,0.1,.000,5.9,8.9,.658,3.3,5.2,.633,4.2,8.8,13.0,2.1,0.8,1.8,1.5,3.1,15.1
7,Kadeem Allen,PG,27,NYK,10,0,117,5.8,13.5,.432,1.5,4.9,.313,4.3,8.6,.500,2.2,3.4,.636,0.6,2.2,2.8,6.5,1.5,0.6,2.5,2.2,15.4
8,Al-Farouq Aminu,PF,29,ORL,18,2,380,2.4,8.1,.291,0.9,3.4,.250,1.5,4.7,.320,1.8,2.7,.655,2.3,6.0,8.2,2.0,1.7,0.8,1.6,2.6,7.4
9,Justin Anderson,SG,26,BRK,10,1,107,3.4,12.8,.263,2.0,9.8,.207,1.3,3.0,.444,0.7,1.3,.500,0.3,6.7,7.1,2.7,0.0,2.0,1.3,4.4,9.4
10,Kyle Anderson,SF,26,MEM,67,28,1330,4.2,9.0,.474,0.6,2.3,.282,3.6,6.7,.541,1.4,2.1,.667,1.6,6.1,7.7,4.4,1.5,1.0,1.8,3.0,10.6
11,Ryan Anderson,C,31,HOU,2,0,14,5.1,18.0,.286,2.6,12.9,.200,2.6,5.1,.500,0.0,0.0,,0.0,18.0,18.0,5.1,2.6,0.0,2.6,2.6,12.9
12,Giannis Antetokounmpo,PF,25,MIL,63,63,1917,12.9,23.2,.553,1.7,5.5,.304,11.2,17.7,.631,7.5,11.8,.633,2.6,13.4,16.1,6.6,1.1,1.2,4.3,3.7,34.9
13,Kostas Antetokounmpo,PF,22,LAL,5,0,20,5.4,5.4,1.000,0.0,0.0,,5.4,5.4,1.000,1.8,3.6,.500,3.6,1.8,5.4,3.6,0.0,0.0,1.8,3.6,12.6
14,Thanasis Antetokounmpo,SF,27,MIL,20,2,129,6.7,13.4,.500,0.0,2.8,.000,6.7,10.6,.632,2.0,4.7,.412,3.3,3.3,6.7,4.2,2.0,0.6,3.3,5.0,15.3
15,Carmelo Anthony,PF,35,POR,58,58,1902,6.4,14.8,.430,1.6,4.3,.385,4.7,10.5,.448,2.6,3.0,.845,1.3,5.6,7.0,1.6,0.9,0.5,1.9,3.2,16.9
16,OG Anunoby,SF,22,TOR,69,68,2066,5.0,9.9,.505,1.6,4.0,.390,3.4,5.9,.583,1.3,1.8,.706,1.4,4.9,6.3,1.9,1.7,0.8,1.4,2.9,12.8
17,Ryan Arcidiacono,PG,25,CHI,58,4,930,3.5,8.5,.409,2.1,5.3,.391,1.4,3.2,.439,1.0,1.5,.711,0.8,3.5,4.3,3.7,1.0,0.1,1.4,3.7,10.1
18,Trevor Ariza,SF,34,TOT,53,21,1493,3.4,7.8,.438,1.9,5.0,.372,1.6,2.8,.556,1.5,1.8,.838,0.8,5.1,5.9,2.2,1.7,0.4,1.4,2.7,10.2
19,D.J. Augustin,PG,32,ORL,57,13,1420,4.7,11.7,.399,1.8,5.1,.348,2.9,6.6,.438,4.1,4.6,.890,0.6,2.5,3.1,6.6,0.9,0.0,2.2,1.8,15.2
20,Deandre Ayton,C,21,PHO,38,32,1236,9.0,16.5,.546,0.1,0.4,.231,8.9,16.2,.553,2.0,2.6,.753,4.3,8.4,12.7,2.1,0.8,1.7,2.3,3.4,20.1
21,Dwayne Bacon,SG,24,CHO,39,11,687,4.5,12.8,.348,1.0,3.5,.284,3.5,9.3,.373,1.8,2.8,.660,0.8,4.5,5.2,2.7,1.2,0.1,1.9,2.7,11.7
22,Marvin Bagley III,C,20,SAC,13,6,334,8.4,18.0,.467,0.4,2.4,.182,8.0,15.6,.510,2.7,3.3,.806,3.1,7.3,10.5,1.1,0.6,1.3,1.9,4.6,19.9
23,Lonzo Ball,PG,22,NOP,63,54,2025,4.9,12.2,.403,2.6,7.0,.375,2.3,5.2,.442,0.8,1.4,.566,1.3,5.5,6.8,7.8,1.6,0.7,3.4,2.3,13.2
24,Mo Bamba,C,21,ORL,62,0,878,5.4,11.7,.462,1.5,4.4,.346,3.9,7.3,.531,1.3,1.9,.674,4.1,8.3,12.4,1.7,0.9,3.5,1.7,4.8,13.6
25,J.J. Barea,PG,35,DAL,29,6,450,6.8,16.6,.411,2.6,6.8,.376,4.2,9.8,.434,1.6,1.8,.909,0.8,3.4,4.2,9.0,0.4,0.2,3.0,2.2,17.8
26,Harrison Barnes,PF,27,SAC,72,72,2482,5.3,11.5,.460,1.5,3.9,.381,3.8,7.6,.501,3.1,3.9,.801,1.1,4.0,5.1,2.3,0.6,0.2,1.3,1.3,15.2
27,RJ Barrett,SG,19,NYK,56,55,1704,6.2,15.4,.402,1.3,4.2,.320,4.8,11.2,.432,3.3,5.4,.614,1.1,4.8,5.9,3.0,1.2,0.4,2.6,2.6,17.0
28,Will Barton,SF,29,DEN,58,58,1916,6.2,13.9,.450,2.0,5.4,.375,4.2,8.5,.498,1.9,2.5,.767,1.4,5.4,6.9,4.0,1.1,0.5,1.7,2.3,16.4
