,player,pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
60,Jon Brockman,PF,22,SAC,52,4,654,4.3,8.0,.534,0.0,0.0,,4.3,8.0,.534,2.9,4.8,.597,8.2,8.4,16.6,1.7,1.2,0.4,1.8,9.0,11.5,,124,110
61,Aaron Brooks,PG,25,HOU,82,82,2919,10.1,23.3,.432,3.7,9.2,.398,6.4,14.1,.454,4.3,5.2,.822,0.9,2.8,3.8,7.6,1.2,0.2,4.1,3.5,28.0,,108,112
62,Bobby Brown,PG,25,TOT,45,0,519,8.8,23.7,.371,2.6,9.8,.265,6.2,13.9,.446,1.3,1.5,.867,0.9,2.9,3.8,8.8,1.5,0.1,4.6,4.2,21.5,,90,113
63,Derrick Brown,SF,22,CHA,57,0,535,6.8,14.6,.463,0.2,0.7,.286,6.6,13.9,.471,4.8,7.1,.667,3.1,4.7,7.7,1.9,2.1,1.0,1.9,5.3,18.5,,107,104
64,Devin Brown,SG,31,TOT,50,37,1060,6.6,17.6,.377,2.8,8.0,.354,3.8,9.6,.396,3.4,4.2,.802,1.4,4.6,6.1,3.2,1.6,0.3,3.0,3.5,19.5,,97,111
65,Kwame Brown,C,27,DET,48,1,660,5.1,10.2,.500,0.0,0.1,.000,5.1,10.1,.504,2.7,8.0,.337,4.4,10.2,14.5,1.8,1.2,1.0,3.5,7.6,12.9,,89,110
66,Shannon Brown,SG,24,LAL,82,7,1700,7.7,18.0,.427,1.9,5.8,.328,5.8,12.3,.474,3.0,3.7,.818,0.9,4.7,5.6,3.3,1.7,0.9,2.0,3.9,20.3,,105,105
67,Kobe Bryant*,SG,31,LAL,73,73,2835,13.1,28.6,.456,1.8,5.5,.329,11.3,23.1,.487,8.0,9.9,.811,1.4,5.7,7.1,6.7,2.1,0.4,4.3,3.4,35.9,,109,104
68,Chase Budinger,SF,21,HOU,74,4,1488,8.5,19.4,.441,3.2,8.5,.369,5.4,10.8,.497,2.3,3.0,.770,1.3,6.2,7.5,3.0,1.2,0.4,1.6,2.9,22.5,,111,110
69,Caron Butler,SF-SG,29,TOT,74,74,2783,8.4,19.7,.428,0.8,2.7,.290,7.7,17.0,.450,5.0,5.9,.838,2.0,6.7,8.6,2.9,2.2,0.5,3.0,3.6,22.6,,101,108
70,Rasual Butler,SF,30,LAC,82,64,2702,6.8,16.7,.409,2.8,8.3,.336,4.0,8.4,.482,2.3,2.8,.841,0.7,3.9,4.6,2.2,0.7,1.3,1.5,2.3,18.8,,106,113
71,Andrew Bynum,C,22,LAL,65,65,1977,10.3,18.0,.570,0.0,0.0,.000,10.3,18.0,.571,5.0,6.8,.739,4.6,9.5,14.2,1.8,0.9,2.5,3.0,5.0,25.6,,117,102
72,Will Bynum,PG,27,DET,63,20,1667,7.7,17.4,.444,0.4,1.8,.218,7.3,15.6,.470,4.6,5.8,.798,0.8,3.8,4.6,9.2,1.8,0.2,3.7,4.7,20.4,,105,113
73,José Calderón,PG,28,TOR,68,39,1817,7.8,16.1,.482,1.9,4.9,.398,5.8,11.3,.519,2.4,3.0,.798,0.7,3.4,4.0,11.5,1.3,0.2,2.8,3.8,19.8,,119,116
74,Marcus Camby,PF-C,35,TOT,74,74,2314,5.4,11.4,.475,0.0,0.2,.286,5.4,11.3,.478,1.8,2.8,.639,5.7,14.2,19.8,4.2,2.2,3.3,2.1,3.7,12.7,,112,101
